Uso da CPU (%),Data e Hora,Nome do Programa
16.17,"2024-10-05 19:04:21.969560400 -03:00",chrome.exe
14.26,"2024-10-05 19:04:22.229401600 -03:00",chrome.exe
14.65,"2024-10-05 19:04:22.304240900 -03:00",chrome.exe
14.46,"2024-10-05 19:04:22.366390 -03:00",chrome.exe
12.64,"2024-10-05 19:04:22.986528600 -03:00",chrome.exe
13.88,"2024-10-05 19:04:23.249405200 -03:00",chrome.exe
14.33,"2024-10-05 19:04:23.325101800 -03:00",chrome.exe
14.56,"2024-10-05 19:04:23.384438 -03:00",chrome.exe
10.35,"2024-10-05 19:04:24.002125900 -03:00",msedgewebview2.exe
8.29,"2024-10-05 19:04:24.266305500 -03:00",monitor_cpu.exe
7.18,"2024-10-05 19:04:24.343516300 -03:00",monitor_cpu.exe
6.45,"2024-10-05 19:04:24.402506400 -03:00",msedgewebview2.exe
